RECHTSTRAEGER;QUARTAL;BEKANNTGABE;MEDIUM_MEDIENINHABER;EURO
User 294;19974;2;Movie 109;4
User 286;19974;2;Movie 171;4
User 200;19981;2;Movie 318;5
User 229;19982;2;Movie 328;1
User 178;19974;2;Movie 568;4
User 303;19974;2;Movie 842;2
User 62;19974;2;Movie 65;4
User 207;19974;2;Movie 591;3
User 92;19973;2;Movie 172;4
User 301;19974;2;Movie 401;4
User 36;19974;2;Movie 339;5
User 70;19981;2;Movie 746;3
User 63;19974;2;Movie 242;3
User 28;19974;2;Movie 201;3
User 279;19973;2;Movie 68;4
User 250;19974;2;Movie 7;4
User 14;19981;2;Movie 98;3
User 299;19981;2;Movie 1018;3
User 194;19974;2;Movie 54;3
User 303;19974;2;Movie 815;3
User 119;19973;2;Movie 237;5
User 295;19974;2;Movie 218;5
User 268;19974;2;Movie 930;2
User 268;19974;2;Movie 2;2
User 66;19974;2;Movie 258;4
User 233;19974;2;Movie 202;5
User 83;19974;2;Movie 623;4
User 214;19982;2;Movie 334;3
User 192;19974;2;Movie 476;2
User 100;19981;2;Movie 344;4
User 268;19974;2;Movie 145;1
User 301;19974;2;Movie 56;4
User 307;19974;2;Movie 89;5
User 234;19982;2;Movie 141;3
User 83;19974;2;Movie 576;4
User 181;19974;2;Movie 264;2
User 297;19973;2;Movie 133;4
User 38;19982;2;Movie 153;5
User 7;19981;2;Movie 382;4
User 264;19981;2;Movie 813;4
User 181;19974;2;Movie 872;1
User 201;19981;2;Movie 146;1
User 85;19974;2;Movie 507;4
User 269;19982;2;Movie 367;3
User 59;19981;2;Movie 468;3
User 286;19981;2;Movie 143;4
User 193;19981;2;Movie 96;1
User 113;19974;2;Movie 595;5
User 292;19974;2;Movie 11;5
User 130;19974;2;Movie 1014;3
User 275;19973;2;Movie 98;4
User 189;19982;2;Movie 520;5
User 219;19981;2;Movie 82;1
User 218;19974;2;Movie 209;5
User 123;19974;2;Movie 427;3
User 119;19973;2;Movie 222;5
User 158;19974;2;Movie 177;4
User 222;19974;2;Movie 118;4
User 302;19974;2;Movie 322;2
User 279;19973;2;Movie 501;3
User 301;19974;2;Movie 79;5
User 181;19974;2;Movie 3;2
User 201;19981;2;Movie 695;1
User 13;19974;2;Movie 198;3
User 1;19981;2;Movie 189;3
User 145;19973;2;Movie 237;5
User 23;19973;2;Movie 385;4
User 201;19981;2;Movie 767;4
User 296;19981;2;Movie 705;5
User 42;19974;2;Movie 546;3
User 33;19982;2;Movie 872;3
User 301;19974;2;Movie 554;3
User 16;19974;2;Movie 64;5
User 95;19974;2;Movie 135;3
User 154;19974;2;Movie 357;4
User 77;19981;2;Movie 484;5
User 296;19981;2;Movie 508;5
User 302;19974;2;Movie 303;2
User 244;19974;2;Movie 673;3
User 222;19974;2;Movie 77;4
User 13;19974;2;Movie 215;5
User 16;19974;2;Movie 705;5
User 270;19974;2;Movie 452;4
User 145;19973;2;Movie 15;2
User 187;19974;2;Movie 64;5
User 200;19974;2;Movie 304;5
User 170;19981;2;Movie 749;5
User 101;19974;2;Movie 829;3
User 184;19981;2;Movie 218;3
User 128;19974;2;Movie 204;4
User 181;19974;2;Movie 1295;1
User 184;19981;2;Movie 153;3
User 1;19974;2;Movie 33;4
User 1;19973;2;Movie 160;4
User 184;19981;2;Movie 321;5
User 54;19974;2;Movie 595;3
User 94;19982;2;Movie 343;4
User 128;19974;2;Movie 508;4
User 23;19973;2;Movie 323;2
User 301;19974;2;Movie 227;3
User 301;19974;2;Movie 191;3
User 112;19982;2;Movie 903;1
User 82;19974;2;Movie 183;3
User 222;19974;2;Movie 724;3
User 218;19974;2;Movie 430;3
User 308;19981;2;Movie 1197;4
User 303;19974;2;Movie 134;5
User 133;19981;2;Movie 751;3
User 215;19982;2;Movie 212;2
User 69;19974;2;Movie 256;5
User 254;19981;2;Movie 662;4
User 276;19973;2;Movie 2;4
User 104;19981;2;Movie 984;1
User 63;19974;2;Movie 1067;3
User 267;19974;2;Movie 410;4
User 13;19974;2;Movie 56;5
User 240;19981;2;Movie 879;3
User 286;19974;2;Movie 237;2
User 294;19981;2;Movie 271;5
User 90;19982;2;Movie 1086;4
User 18;19974;2;Movie 26;4
User 92;19973;2;Movie 229;3
User 308;19981;2;Movie 649;4
User 144;19981;2;Movie 89;3
User 191;19982;2;Movie 302;4
User 59;19981;2;Movie 951;3
User 200;19981;2;Movie 96;5
User 16;19974;2;Movie 197;5
User 61;19982;2;Movie 678;3
User 271;19981;2;Movie 199;4
User 271;19981;2;Movie 709;3
User 142;19981;2;Movie 169;5
User 275;19974;2;Movie 597;3
User 222;19974;2;Movie 151;3
User 87;19974;2;Movie 40;3
User 207;19974;2;Movie 258;4
User 272;19974;2;Movie 1393;2
User 177;19974;2;Movie 333;4
User 207;19974;2;Movie 1115;2
User 299;19981;2;Movie 577;3
User 271;19981;2;Movie 378;4
User 305;19981;2;Movie 425;4
User 49;19981;2;Movie 959;2
User 94;19982;2;Movie 1224;3
User 130;19973;2;Movie 1017;3
User 10;19974;2;Movie 175;3
User 203;19974;2;Movie 321;3
User 191;19982;2;Movie 286;4
User 43;19974;2;Movie 323;3
User 21;19973;2;Movie 558;5
User 197;19982;2;Movie 96;5
User 13;19981;2;Movie 344;2
User 194;19974;2;Movie 66;3
User 234;19982;2;Movie 206;4
User 308;19981;2;Movie 402;4
User 308;19981;2;Movie 640;4
User 269;19982;2;Movie 522;5
User 94;19982;2;Movie 265;4
User 268;19973;2;Movie 62;3
User 272;19974;2;Movie 12;5
User 121;19982;2;Movie 291;3
User 296;19981;2;Movie 20;5
User 134;19982;2;Movie 286;3
User 180;19974;2;Movie 462;5
User 234;19982;2;Movie 612;3
User 104;19981;2;Movie 117;2
User 38;19982;2;Movie 758;1
User 269;19982;2;Movie 845;1
User 7;19981;2;Movie 163;4
User 234;19982;2;Movie 1451;3
User 275;19974;2;Movie 405;2
User 52;19974;2;Movie 250;3
User 102;19981;2;Movie 823;3
User 13;19981;2;Movie 186;4
User 178;19974;2;Movie 731;4
User 236;19981;2;Movie 71;3
User 256;19974;2;Movie 781;5
User 263;19981;2;Movie 176;5
User 244;19974;2;Movie 186;3
User 279;19973;2;Movie 1181;4
User 43;19981;2;Movie 815;4
User 83;19974;2;Movie 78;2
User 151;19974;2;Movie 197;5
User 254;19981;2;Movie 436;2
User 109;19974;2;Movie 631;3
User 297;19973;2;Movie 716;3
User 249;19974;2;Movie 188;4
User 144;19981;2;Movie 699;4
User 301;19974;2;Movie 604;4
User 64;19981;2;Movie 392;3
User 92;19973;2;Movie 501;2
User 222;19974;2;Movie 97;4
User 268;19973;2;Movie 436;3
User 293;19981;2;Movie 135;5
User 213;19974;2;Movie 173;5
User 160;19974;2;Movie 460;2
User 13;19974;2;Movie 498;4
User 59;19981;2;Movie 715;5
User 5;19973;2;Movie 17;4
User 125;19974;2;Movie 163;5
User 174;19981;2;Movie 315;5
User 114;19974;2;Movie 505;3
User 213;19974;2;Movie 515;4
User 23;19973;2;Movie 196;2
User 128;19974;2;Movie 15;4
User 239;19981;2;Movie 56;4
User 181;19974;2;Movie 279;1
User 291;19973;2;Movie 80;4
User 250;19974;2;Movie 238;4
User 201;19981;2;Movie 649;3
User 60;19974;2;Movie 60;5
User 181;19974;2;Movie 325;2
User 119;19981;2;Movie 407;3
User 287;19973;2;Movie 1;5
User 216;19974;2;Movie 228;3
User 216;19974;2;Movie 531;4
User 203;19974;2;Movie 471;4
User 92;19974;2;Movie 587;3
User 13;19974;2;Movie 892;3
User 213;19974;2;Movie 176;4
User 286;19974;2;Movie 288;5
User 117;19974;2;Movie 1047;2
User 99;19981;2;Movie 111;1
User 11;19982;2;Movie 558;3
User 65;19974;2;Movie 47;2
User 295;19974;2;Movie 194;4
User 269;19982;2;Movie 217;2
User 85;19974;2;Movie 259;2
User 250;19974;2;Movie 596;5
User 137;19974;2;Movie 144;5
User 201;19981;2;Movie 960;2
User 257;19974;2;Movie 137;4
User 111;19982;2;Movie 328;4
User 91;19982;2;Movie 480;4
User 215;19982;2;Movie 211;4
User 181;19974;2;Movie 938;1
User 189;19982;2;Movie 1060;5
User 1;19981;2;Movie 20;4
User 303;19974;2;Movie 404;4
User 299;19974;2;Movie 305;3
User 187;19974;2;Movie 210;4
User 222;19974;2;Movie 278;2
User 214;19982;2;Movie 568;4
User 293;19981;2;Movie 770;3
User 285;19981;2;Movie 191;4
User 303;19974;2;Movie 252;3
User 96;19981;2;Movie 156;4
User 72;19974;2;Movie 1110;3
User 115;19974;2;Movie 1067;4
User 7;19981;2;Movie 430;3
User 116;19981;2;Movie 350;3
User 73;19981;2;Movie 480;4
User 269;19982;2;Movie 246;5
User 263;19981;2;Movie 419;5
User 70;19981;2;Movie 431;3
User 221;19973;2;Movie 475;4
User 72;19974;2;Movie 182;5
User 25;19981;2;Movie 357;4
User 290;19974;2;Movie 50;5
User 189;19982;2;Movie 526;4
User 299;19974;2;Movie 303;3
User 264;19981;2;Movie 294;3
User 200;19981;2;Movie 365;5
User 187;19974;2;Movie 135;4
User 184;19981;2;Movie 187;4
User 63;19974;2;Movie 289;2
User 13;19974;2;Movie 229;4
User 298;19981;2;Movie 486;3
User 235;19981;2;Movie 185;4
User 62;19974;2;Movie 712;4
User 246;19981;2;Movie 94;2
User 54;19974;2;Movie 742;5
User 63;19974;2;Movie 762;3
User 11;19982;2;Movie 732;3
User 92;19973;2;Movie 168;4
User 8;19974;2;Movie 550;3
User 307;19974;2;Movie 174;4
User 303;19974;2;Movie 200;4
User 256;19974;2;Movie 849;2
User 72;19974;2;Movie 54;3
User 164;19981;2;Movie 406;2
User 117;19974;2;Movie 150;4
User 224;19981;2;Movie 77;4
User 193;19981;2;Movie 869;3
User 94;19982;2;Movie 184;2
User 281;19974;2;Movie 338;2
User 130;19973;2;Movie 109;3
User 128;19974;2;Movie 371;1
User 94;19982;2;Movie 720;1
User 182;19981;2;Movie 845;3
User 129;19974;2;Movie 873;1
User 254;19981;2;Movie 229;4
User 64;19974;2;Movie 381;4
User 151;19974;2;Movie 176;2
User 45;19974;2;Movie 25;4
User 193;19981;2;Movie 879;3
User 276;19981;2;Movie 922;4
User 276;19973;2;Movie 57;3
User 234;19982;2;Movie 187;4
User 181;19974;2;Movie 306;1
User 21;19973;2;Movie 370;1
User 293;19981;2;Movie 249;3
User 264;19981;2;Movie 721;5
User 10;19974;2;Movie 611;5
User 197;19982;2;Movie 346;3
User 276;19973;2;Movie 142;3
User 308;19981;2;Movie 427;4
User 221;19973;2;Movie 943;4
User 131;19981;2;Movie 126;4
User 268;19974;2;Movie 824;2
User 109;19974;2;Movie 8;3
User 198;19981;2;Movie 58;3
User 230;19974;2;Movie 680;4
User 181;19974;2;Movie 741;1
User 192;19974;2;Movie 1061;4
User 234;19982;2;Movie 448;3
User 90;19982;2;Movie 900;4
User 193;19981;2;Movie 941;4
User 128;19974;2;Movie 603;5
User 126;19981;2;Movie 905;2
User 244;19974;2;Movie 265;4
User 90;19982;2;Movie 289;3
User 157;19981;2;Movie 25;3
User 305;19981;2;Movie 71;3
User 119;19973;2;Movie 382;5
User 21;19973;2;Movie 222;2
User 231;19981;2;Movie 181;4
User 280;19982;2;Movie 508;3
User 288;19981;2;Movie 132;3
User 279;19981;2;Movie 1497;2
User 301;19974;2;Movie 33;4
User 72;19974;2;Movie 699;3
User 90;19982;2;Movie 259;2
User 308;19981;2;Movie 55;3
User 59;19981;2;Movie 742;3
User 94;19982;2;Movie 744;4
User 130;19973;2;Movie 642;4
User 26;19981;2;Movie 1015;3
User 56;19982;2;Movie 121;5
User 82;19981;2;Movie 508;2
User 62;19974;2;Movie 12;4
User 276;19973;2;Movie 40;3
User 181;19974;2;Movie 1015;1
User 152;19974;2;Movie 301;3
User 178;19974;2;Movie 845;4
User 217;19981;2;Movie 597;4
User 79;19981;2;Movie 303;4
User 138;19974;2;Movie 484;4
User 308;19981;2;Movie 81;5
User 75;19981;2;Movie 284;2
User 269;19982;2;Movie 198;4
User 307;19974;2;Movie 94;3
User 222;19974;2;Movie 781;3
User 121;19982;2;Movie 740;3
User 269;19982;2;Movie 22;1
User 13;19974;2;Movie 864;4
User 230;19974;2;Movie 742;5
User 269;19982;2;Movie 507;4
User 239;19981;2;Movie 1099;5
User 245;19981;2;Movie 1028;5
User 56;19982;2;Movie 546;3
User 295;19974;2;Movie 961;5
User 271;19981;2;Movie 1028;2
User 222;19974;2;Movie 812;2
User 69;19974;2;Movie 240;3
User 10;19974;2;Movie 7;4
User 22;19974;2;Movie 376;3
User 294;19981;2;Movie 931;3
User 82;19981;2;Movie 717;1
User 279;19973;2;Movie 399;4
User 269;19982;2;Movie 234;1
User 6;19974;2;Movie 98;5
User 243;19974;2;Movie 1039;4
User 298;19981;2;Movie 181;4
User 282;19974;2;Movie 325;1
User 78;19974;2;Movie 323;1
User 118;19973;2;Movie 200;5
User 283;19974;2;Movie 1114;5
User 171;19981;2;Movie 292;4
User 70;19981;2;Movie 217;4
User 10;19974;2;Movie 100;5
User 245;19981;2;Movie 181;4
User 107;19981;2;Movie 333;3
User 246;19981;2;Movie 561;1
User 13;19981;2;Movie 901;1
User 276;19973;2;Movie 70;4
User 244;19974;2;Movie 17;2
User 189;19982;2;Movie 56;5
User 226;19981;2;Movie 242;5
User 62;19974;2;Movie 1016;4
User 276;19973;2;Movie 417;4
User 214;19982;2;Movie 478;4
User 306;19974;2;Movie 235;4
User 222;19974;2;Movie 26;3
User 280;19982;2;Movie 631;5
User 60;19974;2;Movie 430;5
User 56;19982;2;Movie 71;4
User 42;19974;2;Movie 274;5
User 1;19973;2;Movie 202;5
User 13;19974;2;Movie 809;4
User 173;19974;2;Movie 289;4
User 15;19974;2;Movie 749;1
User 185;19974;2;Movie 23;4
User 280;19982;2;Movie 540;3
User 244;19974;2;Movie 381;4
User 150;19974;2;Movie 293;4
User 7;19981;2;Movie 497;4
User 178;19974;2;Movie 317;4
User 178;19974;2;Movie 742;3
User 95;19974;2;Movie 1217;3
User 234;19982;2;Movie 1462;3
User 97;19981;2;Movie 222;5
User 109;19974;2;Movie 127;2
User 117;19974;2;Movie 268;5
User 269;19982;2;Movie 705;2
User 130;19974;2;Movie 1246;3
User 264;19981;2;Movie 655;4
User 207;19973;2;Movie 13;3
User 42;19974;2;Movie 588;5
User 246;19981;2;Movie 409;2
User 87;19974;2;Movie 367;4
User 101;19974;2;Movie 304;3
User 256;19974;2;Movie 127;4
User 92;19973;2;Movie 794;3
User 181;19974;2;Movie 762;2
User 213;19974;2;Movie 235;1
User 92;19974;2;Movie 739;2
User 292;19974;2;Movie 661;5
User 246;19981;2;Movie 665;4
User 274;19974;2;Movie 845;5
User 188;19973;2;Movie 692;5
User 18;19974;2;Movie 86;4
User 5;19974;2;Movie 439;1
User 236;19981;2;Movie 632;3
User 193;19981;2;Movie 407;4
User 144;19981;2;Movie 709;4
User 90;19982;2;Movie 1198;5
User 48;19974;2;Movie 609;4
User 5;19973;2;Movie 225;2
User 22;19974;2;Movie 128;5
User 311;19981;2;Movie 432;4
User 8;19974;2;Movie 22;5
User 276;19973;2;Movie 188;4
User 222;19974;2;Movie 173;5
User 72;19974;2;Movie 866;4
User 299;19974;2;Movie 134;4
User 1;19981;2;Movie 171;5
User 308;19981;2;Movie 295;3
User 165;19974;2;Movie 216;4
User 222;19974;2;Movie 49;3
User 181;19974;2;Movie 121;4
User 200;19981;2;Movie 11;5
User 234;19982;2;Movie 626;4
User 244;19974;2;Movie 707;4
User 90;19982;2;Movie 25;5
User 208;19974;2;Movie 216;5
User 263;19981;2;Movie 96;4
User 134;19982;2;Movie 323;4
User 279;19982;2;Movie 586;4
User 2;19981;2;Movie 292;4
User 288;19981;2;Movie 593;2
User 49;19981;2;Movie 302;4
User 286;19974;2;Movie 153;5
User 205;19981;2;Movie 304;3
User 22;19974;2;Movie 80;4
User 234;19982;2;Movie 318;4
User 223;19982;2;Movie 328;3
User 15;19974;2;Movie 25;3
User 268;19974;2;Movie 147;4
User 94;19982;2;Movie 1220;3
User 274;19974;2;Movie 405;4
User 7;19981;2;Movie 492;5
User 268;19974;2;Movie 217;2
User 16;19974;2;Movie 55;5
User 164;19981;2;Movie 620;3
User 290;19974;2;Movie 161;4
User 92;19973;2;Movie 515;4
User 239;19981;2;Movie 1070;5
User 56;19982;2;Movie 449;5
User 248;19981;2;Movie 234;4
User 234;19981;2;Movie 10;3
User 280;19982;2;Movie 1049;2
User 308;19981;2;Movie 187;5
User 276;19973;2;Movie 64;5
User 192;19974;2;Movie 948;3
User 122;19974;2;Movie 509;4
User 85;19974;2;Movie 588;3
User 262;19974;2;Movie 931;2
User 201;19981;2;Movie 272;3
User 181;19974;2;Movie 870;2
User 295;19974;2;Movie 739;4
User 263;19981;2;Movie 568;4
User 295;19974;2;Movie 39;4
User 201;19981;2;Movie 1100;4
User 93;19981;2;Movie 820;3
User 159;19974;2;Movie 1028;5
User 158;19974;2;Movie 665;2
User 293;19981;2;Movie 423;3
User 82;19974;2;Movie 597;3
User 276;19973;2;Movie 181;5
User 13;19974;2;Movie 823;5
User 217;19981;2;Movie 2;3
User 83;19974;2;Movie 660;4
User 189;19982;2;Movie 20;5
User 222;19974;2;Movie 796;4
User 146;19982;2;Movie 1022;5
User 267;19974;2;Movie 121;3
User 126;19981;2;Movie 294;3
User 181;19974;2;Movie 1060;1
User 125;19982;2;Movie 80;4
User 43;19981;2;Movie 120;4
User 13;19974;2;Movie 780;1
User 253;19982;2;Movie 259;2
User 42;19974;2;Movie 44;3
User 77;19981;2;Movie 518;4
User 291;19973;2;Movie 686;5
User 268;19974;2;Movie 21;3
User 262;19974;2;Movie 28;3
User 234;19982;2;Movie 81;3
User 29;19974;2;Movie 245;3
User 236;19981;2;Movie 57;5
User 158;19974;2;Movie 729;3
User 156;19981;2;Movie 661;4
User 232;19981;2;Movie 52;5
User 168;19981;2;Movie 866;5
User 37;19974;2;Movie 288;4
User 141;19981;2;Movie 245;3
User 235;19981;2;Movie 230;4
User 102;19981;2;Movie 70;3
User 77;19981;2;Movie 172;3
User 90;19982;2;Movie 506;5
User 186;19974;2;Movie 566;5
User 44;19974;2;Movie 660;5
User 118;19973;2;Movie 774;5
User 7;19981;2;Movie 661;5
User 49;19981;2;Movie 1003;2
User 62;19974;2;Movie 68;1
User 42;19974;2;Movie 1028;4
User 178;19974;2;Movie 433;4
User 85;19974;2;Movie 51;2
User 77;19981;2;Movie 474;5
User 58;19982;2;Movie 1099;2
User 56;19982;2;Movie 1047;4
User 197;19982;2;Movie 688;1
User 286;19974;2;Movie 99;4
User 90;19982;2;Movie 258;3
User 181;19974;2;Movie 1288;1
User 295;19974;2;Movie 190;4
User 224;19981;2;Movie 69;4
User 272;19974;2;Movie 317;4
User 221;19973;2;Movie 1010;3
User 66;19974;2;Movie 877;1
User 207;19974;2;Movie 318;5
User 234;19982;2;Movie 487;3
User 7;19981;2;Movie 648;5
User 87;19974;2;Movie 82;5
User 195;19974;2;Movie 1052;1
User 44;19981;2;Movie 449;5
User 306;19974;2;Movie 287;4
User 194;19974;2;Movie 172;3
User 94;19982;2;Movie 62;3
User 167;19982;2;Movie 659;4
User 108;19974;2;Movie 100;4
User 230;19974;2;Movie 304;5
User 181;19974;2;Movie 927;1
User 54;19974;2;Movie 302;4
User 90;19982;2;Movie 22;4
User 181;19974;2;Movie 696;2
User 286;19974;2;Movie 357;4
User 14;19982;2;Movie 269;4
User 311;19981;2;Movie 179;2
User 92;19973;2;Movie 121;5
